Celltype,Condition,Clusters,PatientID,nFeature,nCount,Rowinds
APOE+ FIB,LS,1,Patient1,533,1462.940757486508,502
APOE+ FIB,LS,1,Patient1,653,1668.0531084851766,504
APOE+ FIB,LS,1,Patient1,554,1516.786622988523,505
APOE+ FIB,LS,1,Patient1,512,1431.8215756398333,506
APOE+ FIB,LS,1,Patient1,502,1411.0471822468364,508
APOE+ FIB,LS,1,Patient1,594,1631.0619217436747,509
APOE+ FIB,LS,1,Patient1,691,1776.4761786315298,510
APOE+ FIB,LS,1,Patient1,585,1560.3459331866454,511
APOE+ FIB,LS,1,Patient1,412,1285.1356350039964,512
APOE+ FIB,LS,1,Patient1,703,1771.1371389092594,513
APOE+ FIB,LS,1,Patient1,669,1735.0717285883018,514
APOE+ FIB,LS,1,Patient1,536,1431.3288020508571,518
APOE+ FIB,LS,1,Patient1,246,904.3161405555858,519
APOE+ FIB,LS,1,Patient1,457,1348.7310893867495,520
APOE+ FIB,LS,3,Patient1,570,1584.8800674593876,521
APOE+ FIB,LS,1,Patient1,519,1416.7788439763422,524
APOE+ FIB,LS,1,Patient1,691,1687.0374500891035,525
APOE+ FIB,LS,3,Patient1,646,1726.349516832947,526
APOE+ FIB,LS,1,Patient1,595,1649.6400293109307,528
APOE+ FIB,LS,1,Patient1,604,1510.474417556217,529
APOE+ FIB,LS,1,Patient1,381,1211.5061750499856,530
APOE+ FIB,LS,1,Patient1,603,1604.3753150159312,531
APOE+ FIB,LS,1,Patient1,540,1470.9925260983778,532
APOE+ FIB,LS,1,Patient1,359,1175.6659981753073,533
APOE+ FIB,LS,1,Patient1,549,1447.2791446930553,534
APOE+ FIB,LS,1,Patient1,569,1527.6160935780056,535
APOE+ FIB,LS,1,Patient1,555,1512.2891829813639,538
APOE+ FIB,LS,1,Patient1,665,1644.8069565991507,540
APOE+ FIB,LS,1,Patient1,632,1635.4589241017788,542
APOE+ FIB,LS,1,Patient1,472,1372.6011981370355,545
APOE+ FIB,LS,1,Patient1,526,1470.211761306099,546
APOE+ FIB,LS,1,Patient1,440,1346.7566909035418,547
APOE+ FIB,LS,1,Patient1,459,1312.4493006983746,548
APOE+ FIB,LS,1,Patient1,490,1398.1027866580062,549
APOE+ FIB,LS,1,Patient1,594,1530.7307609404377,550
APOE+ FIB,LS,3,Patient1,468,1392.0101243468175,551
APOE+ FIB,LS,1,Patient1,342,1110.9714934373167,552
APOE+ FIB,LS,2,Patient1,573,1536.2392404696025,553
APOE+ FIB,LS,1,Patient1,476,1385.8709328772748,554
APOE+ FIB,LS,1,Patient1,622,1625.0367471419195,555
APOE+ FIB,LS,1,Patient1,408,1248.6685050864517,556
APOE+ FIB,LS,1,Patient1,500,1417.3734616529819,559
APOE+ FIB,LS,1,Patient1,626,1644.4877501037874,560
APOE+ FIB,LS,1,Patient1,394,1234.699217771617,561
APOE+ FIB,LS,1,Patient1,464,1349.371712213199,562
APOE+ FIB,LS,1,Patient1,448,1311.886742427732,563
APOE+ FIB,LS,1,Patient1,447,1306.2023686357716,564
APOE+ FIB,LS,2,Patient1,489,1422.2744249195223,565
